series,episode,baker_name,first_name,technical,result,signature_bake,show_stopper,baker_age,baker_occupation,hometown
1,1,Annetha Mills,Annetha,2,IN,Light Jamaican Black Cakewith Strawberries and Cream,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream",30,Midwife,Essex
1,2,Annetha Mills,Annetha,7,OUT,Rose Petal Shortbread,Pink Swirl Macarons / Eclairs,30,Midwife,Essex
1,3,Annetha Mills,Annetha,NA,NA,NA,NA,30,Midwife,Essex
1,4,Annetha Mills,Annetha,NA,NA,NA,NA,30,Midwife,Essex
1,5,Annetha Mills,Annetha,NA,NA,NA,NA,30,Midwife,Essex
1,6,Annetha Mills,Annetha,NA,NA,NA,NA,30,Midwife,Essex
1,1,David Chambers,David,3,IN,Chocolate Orange Cake,"Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs",31,Entrepreneur,Milton Keynes
1,2,David Chambers,David,8,IN,Cheddar Cheese and Fresh Rosemary Biscuits,Choux Pastry Swans  Chocolate Profiteroles,31,Entrepreneur,Milton Keynes
1,3,David Chambers,David,4,IN,Chilli Bread,"Walnut and Seed Roll
Red Berry and Almond Bun",31,Entrepreneur,Milton Keynes
1,4,David Chambers,David,5,OUT,Pear and Walnut Pudding,"Apple and Blackberry Crumble, Rhubarb and Orange Betty, Suet Pear",31,Entrepreneur,Milton Keynes
1,5,David Chambers,David,NA,NA,NA,NA,31,Entrepreneur,Milton Keynes
1,6,David Chambers,David,NA,NA,NA,NA,31,Entrepreneur,Milton Keynes
1,1,Edd Kimber,Edd,1,IN,Caramel Cinnamon and Banana Cake,N/A,24,Debt collector for Yorkshire Bank,Bradford
1,2,Edd Kimber,Edd,6,IN,Oatmeal Raisin Cookie,Pink Macarons,24,Debt collector for Yorkshire Bank,Bradford
1,3,Edd Kimber,Edd,1,IN,Olive Bread,Tomato and Mozzarella,24,Debt collector for Yorkshire Bank,Bradford
1,4,Edd Kimber,Edd,3,IN,Apple and Plum Pudding,"Apple and Cinnamon Crumble, Nutella Banana Brioche Bread Pudding, Rhubarb and Strawberry Suet Layer",24,Debt collector for Yorkshire Bank,Bradford
1,5,Edd Kimber,Edd,2,IN,"Chicken, Ham, Leek and Tarragon Pie","Almond Sweet Pastry with Ginger and Chocolate  Raspberry Tart / Yorkshire Curd Tart  Chickpea and Salami, Red and Yellow Pepper, Asparagus Gruyere Quiche Canapés",24,Debt collector for Yorkshire Bank,Bradford
1,6,Edd Kimber,Edd,NA,WINNER,Cinnamon and Banana Cake,NA,24,Debt collector for Yorkshire Bank,Bradford
1,1,Jasminder Randhawa,Jasminder,NA,IN,Fresh Mango and Passion Fruit Hummingbird Cake,N/A,45,Assistant Credit Control Manager,Birmingham
1,2,Jasminder Randhawa,Jasminder,2,IN,Millionaires' Shortbread,Meringues with Chocolate and Space DustCoffee flavoured Eclairs,45,Assistant Credit Control Manager,Birmingham
